web_id	분류	제품명(중문)	제품명(한글)	SQL 모델	SQL행	가격대	판정
313739	리튬전지in-situ	基础锂电池测试池（两电极）	기초 리튬전지 테스트 셀 (2전극)	B002	1	1,645,000	확정
313757	리튬전지in-situ	基础锂电池测试池（三电极）	기초 리튬전지 테스트 셀 (3전극)	B003	1	2,275,000	확정
495795	리튬전지in-situ	压力电池评价测试池（两电极）	가압 전지 평가 셀 (2전극)	PB002	1	2,625,000	확정
313783	리튬전지in-situ	压力电池评价测试池（三电극）	가압 전지 평가 셀 (3전극)	PB003	1	3,150,000	확정
313791	리튬전지in-situ	推进式压力电池测试池	전진 가압형 전지 테스트 셀	TB002	1	3,150,000	확정
495608	리튬전지in-situ	拉曼压力电池测试池（两电극）	라만 가압 전지 셀 (2전극)	PB002-RM	1	3,850,000	확정
495590	리튬전지in-situ	拉曼压力电池测试池（三电극）	라만 가압 전지 셀 (3전극)	PB003-RM	1	4,375,000	확정
495657	리튬전지in-situ	原位拉曼锂电测试池-两电极体系	in-situ 라만 리튬전지 셀 (2전극)	B002-RM	1	2,800,000	확정
495642	리튬전지in-situ	原位拉曼锂电池测试池（三电극）	in-situ 라만 리튬전지 셀 (3전극)	B003-RM	1	3,413,000	확정
495838	리튬전지in-situ	原位XRD锂电测试池-两电极	in-situ XRD 리튬전지 셀 (2전극)	B002-XRD	1	3,967,000	확정
495807	리튬전지in-situ	原位XRD锂电池测试池（三电극）	in-situ XRD 리튬전지 셀 (3전극)	B003-XRD	1	4,550,000	확정
968940	리튬전지in-situ	原位红外锂电池测试池	in-situ 적외 리튬전지 셀	B-IFA	1	7,000,000	확정
313797	리튬전지in-situ	原位电池模拟观测池（可调节扭力枝晶）	in-situ 전지 모사 관찰 셀 (토크 조절형)	C031-5-1	1	1,750,000	확정
495367	리튬전지in-situ	原位锂电池模拟观测池（锂枝晶）	in-situ 리튬전지 모사 관찰 셀 (덴드라이트)	C031-5	1	1,750,000	확정
5925041	리튬전지in-situ	固态电池夹具	전고체 전지 픽스처	PB001 + PB001-PS	2	700,000~962,000	확정 — 카탈로그 B004와 동일 제품
608608	리튬전지in-situ	世伟洛克式电池测试池	Swagelok형 전지 테스트 셀	B001-1~B001-4	4	1,460,000~1,925,000	확정 — 전용기능셀과 중복 등재
497618	전기화학in-situ	原位拉曼电化学池	in-situ 라만 전기화학셀	C031-1	1	2,800,000	확정
497598	전기화학in-situ	原位拉曼H型可换膜电解池	in-situ 라만 H형 막교체 전해셀	C031-2	1	4,025,000	확정
497594	전기화학in-situ	原位拉曼气体扩散H型电解池	in-situ 라만 가스확산 H형 전해셀	C031-3	1	5,250,000	확정
1088788	전기화학in-situ	原位拉曼气体扩散3H型电解池	in-situ 라만 가스확산 3H형 전해셀	C031-S	1	5,250,000	확정 — 웹 "가스확산 3H형" ↔ 카탈로그 C031-S 3실 독립(가스·작업·상대) 사파이어창 Φ45
2345980	전기화학in-situ	原位拉曼蛇形流道气体扩散电解池	in-situ 라만 사행유로 가스확산 전해셀	C031-3S	1	5,250,000	확정 — 웹 "사행유로" ↔ 카탈로그 C031-3S(C031-3 업그레이드, 사행 유로가 정의 특징)
907218	전기화학in-situ	原位拉曼电化学池（盘状基底）	in-situ 라만 전기화학셀 (디스크 기재)	C031-4	1	2,800,000	확정 — 창 업그레이드 시 XRD 가능(웹 신규 정보)
907253	전기화학in-situ	原位XRD电化学测试池	in-situ XRD 전기화학 셀	C031-XRD	1	2,800,000	확정
2282078	전기화학in-situ	原位X射线吸收谱反应池	in-situ X선흡수(XAFS) 반응셀	XAFS-1~XAFS-4	4	1,400,000~2,800,000	확정
495364	전기화학in-situ	原位和频光谱测试池	in-situ 합주파수(SFG) 셀	19008	1	2,800,000	확정
499638	전기화학in-situ	原位红外H型电化学池-内反射	in-situ 적외 H형 (내부반사)	IFA-1	1	5,250,000	확정
499662	전기화학in-situ	原位红外H型电化学池-外反射	in-situ 적외 H형 (외부반사)	IFA-2	1	9,275,000	확정
499682	전기화학in-situ	原位红外光谱电化学池-透射	in-situ 적외 (투과형)	Infraredlight	1	2,800,000	확정
49173	전기화학in-situ	原位质谱电化学池	in-situ 질량분석 전기화학셀	(후보: DEMS 대응 반응 셀 C023 기반 / PM-DEMS)	2	문의	검토 — 일반 질량분석 셀. MS-FC는 플로우형으로 배정됨. 제조사 확인 필요
1198611	전기화학in-situ	原位质谱流动电化学池	in-situ 질량분석 플로우 셀	MS-FC	1	7,000,000	확정 — 웹 "질량분석 플로우 셀" ↔ MS-FC(Flow Cell)
1198643	전기화학in-situ	质谱-原位红外测试池	질량분석-적외 동시 셀	MS-IFA	1	4,025,000	확정
2473582	전기화학in-situ	多功能原位测试池	다기능 in-situ 셀	In-situ-X	1	4,025,000	확정
